[2021-03-05T12:10:09.046450+01:00] defaultLogger.INFO: Next upgrade step for 4.3.1 is : 4.3.2 [] {"url":"/churchcrm/v2/dashboard","remote_ip":"127.0.0.1","correlation_id":"604211910b57a"}
[2021-03-05T12:10:13.990664+01:00] defaultLogger.INFO: Starting background job processing [] {"url":"/churchcrm/api/background/timerjobs","remote_ip":"127.0.0.1","correlation_id":"60421195f1dd4"}
[2021-03-05T12:10:13.991283+01:00] defaultLogger.INFO: Not starting application integrity check.  Last application integrity check run: 20210301-221156 [] {"url":"/churchcrm/api/background/timerjobs","remote_ip":"127.0.0.1","correlation_id":"60421195f1dd4"}
[2021-03-05T12:10:20.349913+01:00] defaultLogger.INFO: Finished background job processing [] {"url":"/churchcrm/api/background/timerjobs","remote_ip":"127.0.0.1","correlation_id":"60421195f1dd4"}
[2021-03-05T12:10:35.705217+01:00] defaultLogger.INFO: Next upgrade step for 4.3.1 is : 4.3.2 [] {"url":"/churchcrm/v2/family","remote_ip":"127.0.0.1","correlation_id":"604211abac2c9"}
[2021-03-05T12:10:37.870633+01:00] defaultLogger.INFO: Starting background job processing [] {"url":"/churchcrm/api/background/timerjobs","remote_ip":"127.0.0.1","correlation_id":"604211add48f1"}
[2021-03-05T12:10:37.871233+01:00] defaultLogger.INFO: Not starting application integrity check.  Last application integrity check run: 20210301-221156 [] {"url":"/churchcrm/api/background/timerjobs","remote_ip":"127.0.0.1","correlation_id":"604211add48f1"}
[2021-03-05T12:10:37.871343+01:00] defaultLogger.INFO: Finished background job processing [] {"url":"/churchcrm/api/background/timerjobs","remote_ip":"127.0.0.1","correlation_id":"604211add48f1"}
[2021-03-05T12:10:41.579027+01:00] defaultLogger.INFO: Next upgrade step for 4.3.1 is : 4.3.2 [] {"url":"/churchcrm/v2/family/49","remote_ip":"127.0.0.1","correlation_id":"604211b18d5dc"}
[2021-03-05T12:10:43.780024+01:00] defaultLogger.INFO: Starting background job processing [] {"url":"/churchcrm/api/background/timerjobs","remote_ip":"127.0.0.1","correlation_id":"604211b3be707"}
[2021-03-05T12:10:43.781209+01:00] defaultLogger.INFO: Not starting application integrity check.  Last application integrity check run: 20210301-221156 [] {"url":"/churchcrm/api/background/timerjobs","remote_ip":"127.0.0.1","correlation_id":"604211b3be707"}
[2021-03-05T12:10:43.781359+01:00] defaultLogger.INFO: Finished background job processing [] {"url":"/churchcrm/api/background/timerjobs","remote_ip":"127.0.0.1","correlation_id":"604211b3be707"}
[2021-03-05T12:11:47.261198+01:00] defaultLogger.INFO: Next upgrade step for 4.3.1 is : 4.3.2 [] {"url":"/churchcrm/v2/family/49","remote_ip":"127.0.0.1","correlation_id":"604211f33fc57"}
[2021-03-05T12:11:49.581510+01:00] defaultLogger.INFO: Starting background job processing [] {"url":"/churchcrm/api/background/timerjobs","remote_ip":"127.0.0.1","correlation_id":"604211f58df8e"}
[2021-03-05T12:11:49.581921+01:00] defaultLogger.INFO: Not starting application integrity check.  Last application integrity check run: 20210301-221156 [] {"url":"/churchcrm/api/background/timerjobs","remote_ip":"127.0.0.1","correlation_id":"604211f58df8e"}
[2021-03-05T12:11:49.581984+01:00] defaultLogger.INFO: Finished background job processing [] {"url":"/churchcrm/api/background/timerjobs","remote_ip":"127.0.0.1","correlation_id":"604211f58df8e"}
[2021-03-05T12:16:21.851909+01:00] defaultLogger.INFO: Next upgrade step for 4.3.1 is : 4.3.2 [] {"url":"/churchcrm/v2/family/master","remote_ip":"127.0.0.1","correlation_id":"60421305cffcd"}
[2021-03-05T12:16:22.948333+01:00] defaultLogger.INFO: Starting background job processing [] {"url":"/churchcrm/api/background/timerjobs","remote_ip":"127.0.0.1","correlation_id":"60421306e7876"}
[2021-03-05T12:16:22.948720+01:00] defaultLogger.INFO: Not starting application integrity check.  Last application integrity check run: 20210301-221156 [] {"url":"/churchcrm/api/background/timerjobs","remote_ip":"127.0.0.1","correlation_id":"60421306e7876"}
[2021-03-05T12:16:22.948782+01:00] defaultLogger.INFO: Finished background job processing [] {"url":"/churchcrm/api/background/timerjobs","remote_ip":"127.0.0.1","correlation_id":"60421306e7876"}
